timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2024-10-04 08:06:44,26985,26985,26985,26985,0,0,0,0,0
2024-10-04 08:06:49,26985,26985,26985,26985,0,-1,-513,0,0
2024-10-04 08:06:54,26985,26985,26985,26985,0,-1,-513,0,0
2024-10-04 08:06:59,26985,26985,26985,26985,0,0,1280,-1,-769
2024-10-04 08:07:04,26985,26985,26985,26985,0,-1,-513,0,0
2024-10-04 08:07:09,26985,26985,26985,26985,0,0,0,0,0
2024-10-04 08:07:14,26985,26985,26985,26985,0,-1,-1,0,0
2024-10-04 08:07:19,26985,26985,26985,26985,0,-1,-1,0,0
2024-10-04 08:07:24,26985,26985,26985,26985,0,0,0,0,768
2024-10-04 08:07:29,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:07:34,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:07:39,26985,26985,26985,26985,0,-1,-1281,0,512
2024-10-04 08:07:44,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:07:49,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:07:54,26985,26985,26985,26985,0,-1,-1537,-1,-1537
2024-10-04 08:07:59,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:08:04,26985,26985,26985,26985,0,0,768,0,512
2024-10-04 08:08:09,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:08:14,26985,26985,26985,26985,0,0,512,-1,-1281
2024-10-04 08:08:19,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:08:24,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:08:29,26985,26985,26985,26985,0,-1,-1281,0,512
2024-10-04 08:08:34,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:08:39,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:08:44,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:08:49,26985,26985,26985,26985,0,0,512,-1,-1
2024-10-04 08:08:54,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:08:59,26985,26985,26985,26985,0,-1,-1,0,256
2024-10-04 08:09:04,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:09:09,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:09:14,26985,26985,26985,26985,0,-1,-1,-1,-1
2024-10-04 08:09:19,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:09:24,26985,26985,26985,26985,0,-1,-769,-1,-1025
2024-10-04 08:09:29,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:09:34,26985,26985,26985,26985,0,0,0,0,1024
2024-10-04 08:09:39,26985,26985,26985,26985,0,0,512,0,0
2024-10-04 08:09:44,26985,26985,26985,26985,0,0,512,0,1792
