accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
-3,0,0,-45,220,-94,-1,-1,-1
6,6,4,888,-874,663,-1,-1,-1
-3,0,-2,143,150,-242,-1,-1,-1
-2,0,0,126,278,-181,-1,-1,-1
-1,0,0,144,437,-8,-1,-1,-1
4,5,0,-116,432,-605,-1,-1,-1
-2,-3,0,180,361,34,-1,-1,-1
-3,0,0,158,10,-156,-1,-1,-1
-3,0,0,32,-219,-173,-1,-1,-1
3,4,-3,-21,-463,-605,-1,-1,-1
-3,0,-1,-39,185,-83,-1,-1,-1
-2,0,0,132,367,-32,-1,-1,-1
-3,0,0,135,228,-11,-1,-1,-1
6,7,2,84,-179,-605,-1,-1,-1
-3,0,-6,-21,-268,-91,-1,-1,-1
-3,0,0,-51,35,-131,-1,-1,-1
-2,0,0,112,333,-109,-1,-1,-1
2,3,0,-23,448,749,-1,-1,-1
-2,7,-1,272,318,-71,-1,-1,-1
-3,0,0,170,128,-159,-1,-1,-1
-3,0,0,136,-2,-177,-1,-1,-1
-1,1,2,-587,835,195,-1,-1,-1
-7,4,-2,-151,180,40,-1,-1,-1
-2,0,0,-274,218,115,-1,-1,-1
-3,0,0,-210,208,91,-1,-1,-1
3,7,3,59,-605,719,-1,-1,-1
2,-5,-3,200,83,-149,-1,-1,-1
-3,0,0,21,99,-77,-1,-1,-1
-3,0,0,-257,167,91,-1,-1,-1
0,-3,1,546,833,-53,-1,-1,-1
-3,1,1,-85,198,-17,-1,-1,-1
-3,0,0,128,86,-145,-1,-1,-1
-3,0,0,-86,213,-46,-1,-1,-1
5,0,-6,639,834,727,-1,-1,-1
5,-5,-7,-256,388,55,-1,-1,-1
-3,0,0,-150,208,127,-1,-1,-1
-3,0,0,29,-61,120,-1,-1,-1
-3,0,0,35,-135,140,-1,-1,-1
-4,-4,0,-87,992,-919,-1,-1,-1
-3,0,0,-212,126,136,-1,-1,-1
-2,0,0,-334,246,99,-1,-1,-1
-1,0,0,-333,314,66,-1,-1,-1
1,2,-4,-240,239,-362,-1,-1,-1
-3,0,0,-22,80,145,-1,-1,-1
-3,0,0,23,-21,190,-1,-1,-1
-3,0,0,-97,-95,249,-1,-1,-1
6,-7,7,-193,-889,-272,-1,-1,-1
-2,0,0,-234,74,240,-1,-1,-1
-2,0,0,-222,169,189,-1,-1,-1
-2,0,0,-210,177,189,-1,-1,-1
-6,4,-1,-210,196,-716,-1,-1,-1
-2,0,0,-235,56,312,-1,-1,-1
-1,0,0,-261,-22,371,-1,-1,-1
-1,0,0,-259,-64,391,-1,-1,-1
-3,0,2,375,796,-696,-1,-1,-1
-1,0,3,-339,-44,339,-1,-1,-1
-1,0,0,-391,46,278,-1,-1,-1
-1,0,0,-347,135,286,-1,-1,-1
-6,-1,0,437,92,167,-1,-1,-1
-2,0,0,-36,51,407,-1,-1,-1
-1,0,0,-99,-16,431,-1,-1,-1
0,0,0,-272,-61,395,-1,-1,-1
-7,2,7,-273,212,546,-1,-1,-1
0,0,0,-468,55,158,-1,-1,-1
-1,0,0,-266,90,387,-1,-1,-1
-1,0,0,44,75,439,-1,-1,-1
3,6,-5,-35,728,54,-1,-1,-1
0,0,0,-285,-148,382,-1,-1,-1
0,0,0,-461,-49,180,-1,-1,-1
0,0,0,-366,47,334,-1,-1,-1
0,0,3,75,-113,-517,-1,-1,-1
0,0,-4,-35,1,485,-1,-1,-1
0,0,0,-250,-137,409,-1,-1,-1
0,0,0,-465,-117,110,-1,-1,-1
-1,2,-1,-991,-7,727,-1,-1,-1
0,0,5,-263,37,421,-1,-1,-1
0,0,0,-21,68,487,-1,-1,-1
0,0,0,-131,-131,462,-1,-1,-1
-5,6,-5,-294,572,833,-1,-1,-1
0,-3,-3,-390,-29,301,-1,-1,-1
0,0,0,-123,121,463,-1,-1,-1
0,0,0,-71,-9,494,-1,-1,-1
0,3,6,-491,451,-938,-1,-1,-1
1,0,2,-417,-189,120,-1,-1,-1
0,0,0,-411,-52,248,-1,-1,-1
0,0,0,-153,107,463,-1,-1,-1
3,0,0,198,-38,3,-1,-1,-1
0,-1,-7,-136,-198,391,-1,-1,-1
1,0,0,-337,-122,295,-1,-1,-1
