accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
-3,0,0,126,-47,108,-1,-1,-1
-2,0,0,-186,-271,-97,-1,-1,-1
-2,0,0,-197,-369,86,-1,-1,-1
-1,0,0,296,-221,291,-1,-1,-1
-1,6,0,-290,-384,-634,-1,-1,-1
-1,0,0,135,-339,308,-1,-1,-1
-3,0,0,-259,58,-133,-1,-1,-1
6,-3,-6,-826,-588,23,-1,-1,-1
-3,0,0,-240,-39,34,-1,-1,-1
-3,0,0,-243,-30,56,-1,-1,-1
-3,0,0,-241,-31,58,-1,-1,-1
