timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
195912,0.0185546875,-0.021484375,1.0517578125,-0.07633587786259542,-0.2595419847328244,-0.8549618320610687
200916,0.041015625,-0.015625,0.9677734375,0.6259541984732825,3.0839694656488548,0.9618320610687023
205921,0.109375,0.0302734375,0.876953125,1.3282442748091603,4.549618320610687,0.6106870229007634
210925,0.0078125,-0.0068359375,1.0087890625,0.24427480916030533,0.13740458015267176,-0.1984732824427481
215929,1.0869140625,1.017578125,1.5947265625,-64.42748091603053,20.80916030534351,-28.458015267175572
220934,-0.2646484375,-0.857421875,0.6787109375,-500.2748091603053,148.68702290076337,-260.30534351145036
225938,-0.49609375,0.1650390625,-6.48828125,-1.1145038167938932,1.450381679389313,-3.5572519083969465
230943,0.578125,3.6767578125,-2.0751953125,-3.267175572519084,-22.53435114503817,-16.65648854961832
235949,0.8369140625,-3.9150390625,-3.8857421875,-4.244274809160306,11.740458015267176,6.305343511450381
240953,1.2431640625,-2.7666015625,-5.5654296875,-4.6106870229007635,-1.8473282442748091,5.6183206106870225
245958,0.869140625,-1.703125,0.8232421875,0.061068702290076333,0.12213740458015267,0.32061068702290074
250963,1.01171875,0.326171875,1.1376953125,-4.305343511450381,-0.3053435114503817,1.3129770992366412
